n_tokens,n_sents,avg_sent_len,avg_word_len,ttr,punct_ratio,excl_per_1k,quest_per_1k,quotes_per_1k,pos_ratio_noun,pos_ratio_verb,pos_ratio_adj,pos_ratio_adv,pos_ratio_propn,pos_ratio_pron,fk_grade,author,title,split
294,14,21.0,4.191489361702128,0.5872340425531914,0.17687074829931973,3.401360544217687,6.802721088435374,51.02040816326531,0.10204081632653061,0.1870748299319728,0.047619047619047616,0.04421768707482993,0.06802721088435375,0.11904761904761904,7.872887029288702,Jane Austen,Sense and Sensibility,train
258,8,32.25,3.5787037037037037,0.5324074074074074,0.14728682170542637,0.0,0.0,7.751937984496124,0.08914728682170543,0.19767441860465115,0.04263565891472868,0.09689922480620156,0.007751937984496124,0.1434108527131783,9.12699884792627,Mark Twain,Adventures of Huckleberry Finn,train
261,9,29.0,3.8520179372197307,0.5964125560538116,0.12260536398467432,0.0,0.0,0.0,0.16091954022988506,0.16475095785440613,0.06130268199233716,0.04980842911877394,0.03065134099616858,0.09578544061302682,9.043680241327301,Mark Twain,Adventures of Huckleberry Finn,train
292,9,32.44444444444444,4.387351778656127,0.5810276679841897,0.1267123287671233,0.0,3.4246575342465753,0.0,0.1095890410958904,0.1643835616438356,0.06506849315068493,0.04452054794520548,0.08904109589041095,0.0821917808219178,11.329498054474708,Jane Austen,Pride and Prejudice,train
283,7,40.42857142857143,4.64344262295082,0.610655737704918,0.12367491166077739,0.0,0.0,0.0,0.15547703180212014,0.17667844522968199,0.06713780918727916,0.0636042402826855,0.04240282685512368,0.0706713780918728,12.674065040650408,Jane Austen,Pride and Prejudice,train
281,14,20.071428571428573,4.070833333333334,0.6083333333333333,0.1423487544483986,7.117437722419929,0.0,14.234875444839858,0.15658362989323843,0.16725978647686832,0.03558718861209965,0.05693950177935943,0.042704626334519574,0.08185053380782918,6.384285714285717,Mark Twain,The Adventures of Tom Sawyer,train
286,11,26.0,4.561752988047809,0.6175298804780877,0.11538461538461539,0.0,0.0,0.0,0.11888111888111888,0.20279720279720279,0.04895104895104895,0.06993006993006994,0.02097902097902098,0.14335664335664336,11.198824388462945,Jane Austen,Pride and Prejudice,train
246,11,22.363636363636363,3.755434782608696,0.6358695652173914,0.22357723577235772,4.065040650406504,4.065040650406504,48.78048780487805,0.10975609756097561,0.15447154471544716,0.028455284552845527,0.08130081300813008,0.032520325203252036,0.13008130081300814,5.6195059288537585,Mark Twain,Adventures of Huckleberry Finn,train
288,9,32.0,4.2593984962406015,0.5789473684210527,0.0763888888888889,3.4722222222222223,0.0,3.4722222222222223,0.1909722222222222,0.15625,0.06597222222222222,0.041666666666666664,0.013888888888888888,0.09375,12.502389937106916,Mark Twain,A Connecticut Yankee in King Arthur's Court,train
248,4,62.0,4.322429906542056,0.616822429906542,0.12096774193548387,0.0,0.0,0.0,0.12096774193548387,0.15725806451612903,0.07258064516129033,0.07661290322580645,0.06451612903225806,0.06854838709677419,18.19395348837209,Jane Austen,Emma,train
258,17,15.176470588235293,4.069306930693069,0.6435643564356436,0.1937984496124031,15.503875968992247,7.751937984496124,42.63565891472868,0.16666666666666666,0.13953488372093023,0.050387596899224806,0.03875968992248062,0.06589147286821706,0.06201550387596899,4.025449120603017,Mark Twain,The Adventures of Tom Sawyer,train
298,10,29.8,3.783464566929134,0.5354330708661418,0.13087248322147652,0.0,0.0,13.422818791946309,0.15436241610738255,0.2080536912751678,0.03355704697986577,0.053691275167785234,0.02348993288590604,0.12751677852348994,9.034825396825397,Mark Twain,Adventures of Huckleberry Finn,train
280,13,21.53846153846154,4.298701298701299,0.6147186147186147,0.17142857142857143,7.142857142857143,0.0,14.285714285714286,0.14642857142857144,0.19642857142857142,0.05,0.04642857142857143,0.0035714285714285713,0.11785714285714285,7.983913043478264,Mark Twain,A Connecticut Yankee in King Arthur's Court,train
279,10,27.9,4.489451476793249,0.5907172995780591,0.14336917562724014,3.5842293906810037,0.0,14.336917562724015,0.10752688172043011,0.1971326164874552,0.05734767025089606,0.04659498207885305,0.03225806451612903,0.14695340501792115,10.487832757959342,Jane Austen,Pride and Prejudice,train
269,9,29.88888888888889,4.682203389830509,0.5889830508474576,0.10780669144981413,0.0,0.0,0.0,0.137546468401487,0.16728624535315986,0.048327137546468404,0.06691449814126393,0.055762081784386616,0.13011152416356878,12.284436974789916,Jane Austen,Pride and Prejudice,train
288,9,32.0,3.5863453815261046,0.4939759036144578,0.11458333333333333,0.0,0.0,3.4722222222222223,0.1527777777777778,0.1909722222222222,0.034722222222222224,0.07291666666666667,0.003472222222222222,0.13194444444444445,9.331156462585039,Mark Twain,Adventures of Huckleberry Finn,train
282,16,17.625,4.070247933884297,0.5537190082644629,0.1347517730496454,28.368794326241133,0.0,14.184397163120567,0.09574468085106383,0.19148936170212766,0.05319148936170213,0.06028368794326241,0.03900709219858156,0.14893617021276595,6.091666666666669,Jane Austen,Sense and Sensibility,train
289,17,17.0,4.113207547169812,0.5849056603773585,0.22837370242214533,6.920415224913495,6.920415224913495,79.58477508650519,0.1522491349480969,0.18339100346020762,0.03460207612456748,0.03460207612456748,0.03460207612456748,0.09688581314878893,6.442857142857147,Mark Twain,The Adventures of Tom Sawyer,train
297,8,37.125,4.456066945606694,0.5564853556485355,0.13468013468013468,3.367003367003367,0.0,26.936026936026938,0.13468013468013468,0.19865319865319866,0.05723905723905724,0.04377104377104377,0.050505050505050504,0.12121212121212122,8.23466666666667,Jane Austen,Emma,train
226,4,56.5,4.467980295566503,0.6157635467980296,0.09734513274336283,0.0,0.0,0.0,0.13716814159292035,0.14601769911504425,0.05752212389380531,0.05752212389380531,0.05309734513274336,0.10176991150442478,21.699051724137934,Jane Austen,Emma,train
292,8,36.5,4.501915708812261,0.5555555555555556,0.08561643835616438,0.0,0.0,0.0,0.14726027397260275,0.17123287671232876,0.06164383561643835,0.06506849315068493,0.0547945205479452,0.09246575342465753,11.02455590386625,Jane Austen,Emma,train
297,12,24.75,4.650406504065041,0.6341463414634146,0.15488215488215487,0.0,0.0,6.734006734006734,0.16161616161616163,0.14814814814814814,0.050505050505050504,0.04377104377104377,0.06060606060606061,0.09764309764309764,9.05222482435597,Jane Austen,Pride and Prejudice,train
263,9,29.22222222222222,4.396396396396397,0.6081081081081081,0.12927756653992395,0.0,0.0,15.209125475285171,0.12927756653992395,0.17490494296577946,0.057034220532319393,0.053231939163498096,0.060836501901140684,0.11026615969581749,8.776238938053098,Jane Austen,Pride and Prejudice,train
297,5,59.4,4.257028112449799,0.6666666666666666,0.1414141414141414,3.367003367003367,0.0,0.0,0.18518518518518517,0.15151515151515152,0.05387205387205387,0.05387205387205387,0.016835016835016835,0.09090909090909091,18.85448995983936,Mark Twain,Adventures of Huckleberry Finn,train
295,9,32.77777777777778,3.4741035856573705,0.5099601593625498,0.13220338983050847,13.559322033898304,0.0,13.559322033898304,0.11864406779661017,0.19322033898305085,0.03389830508474576,0.0576271186440678,0.01694915254237288,0.14576271186440679,8.669569892473124,Mark Twain,Adventures of Huckleberry Finn,train
283,11,25.727272727272727,3.9430894308943087,0.5853658536585366,0.12367491166077739,0.0,0.0,0.0,0.17314487632508835,0.1625441696113074,0.0636042402826855,0.06713780918727916,0.0,0.09187279151943463,8.168349885408713,Mark Twain,Adventures of Huckleberry Finn,train
252,9,28.0,3.984771573604061,0.6649746192893401,0.1865079365079365,0.0,0.0,43.65079365079365,0.11904761904761904,0.17063492063492064,0.047619047619047616,0.051587301587301584,0.047619047619047616,0.11507936507936507,10.081962435233162,Mark Twain,A Connecticut Yankee in King Arthur's Court,train
293,11,26.636363636363637,4.506382978723404,0.625531914893617,0.18088737201365188,3.4129692832764507,0.0,34.129692832764505,0.12286689419795221,0.18771331058020477,0.07849829351535836,0.05460750853242321,0.05460750853242321,0.10238907849829351,8.648214285714289,Jane Austen,Pride and Prejudice,train
245,4,61.25,4.251162790697674,0.586046511627907,0.11428571428571428,0.0,8.16326530612245,16.3265306122449,0.19591836734693877,0.12244897959183673,0.08979591836734693,0.0326530612244898,0.02040816326530612,0.08163265306122448,21.804259259259265,Mark Twain,A Connecticut Yankee in King Arthur's Court,train
288,13,22.153846153846153,3.6596638655462184,0.5546218487394958,0.1423611111111111,10.416666666666666,0.0,6.944444444444445,0.12152777777777778,0.19444444444444445,0.034722222222222224,0.052083333333333336,0.003472222222222222,0.1597222222222222,5.5496581196581225,Mark Twain,The Adventures of Tom Sawyer,train
288,12,24.0,4.462882096069869,0.6200873362445415,0.1875,3.4722222222222223,0.0,45.138888888888886,0.13194444444444445,0.14583333333333334,0.05555555555555555,0.052083333333333336,0.052083333333333336,0.14583333333333334,9.643041125541128,Jane Austen,Pride and Prejudice,train
296,15,19.733333333333334,4.351145038167939,0.6030534351145038,0.11486486486486487,0.0,0.0,0.0,0.16216216216216217,0.15878378378378377,0.060810810810810814,0.08445945945945946,0.013513513513513514,0.07094594594594594,7.145384615384618,Mark Twain,The Adventures of Tom Sawyer,train
276,4,69.0,4.541666666666667,0.65,0.11956521739130435,0.0,0.0,14.492753623188406,0.13768115942028986,0.17391304347826086,0.05434782608695652,0.03985507246376811,0.06884057971014493,0.11231884057971014,33.31759336099584,Jane Austen,Pride and Prejudice,train
268,7,38.285714285714285,4.96,0.7111111111111111,0.15298507462686567,0.0,0.0,7.462686567164179,0.15671641791044777,0.20522388059701493,0.033582089552238806,0.05223880597014925,0.022388059701492536,0.12313432835820895,13.996527777777779,Jane Austen,Sense and Sensibility,train
