direction,n,style_score_mean,style_score_med,content_cos_mean,content_cos_med,fk_delta_mean
Austen→Twain,25,0.244,0.019,0.548,0.577,-2.216
Twain→Austen,25,0.092,0.002,0.458,0.411,-2.82
